User ID,Geographical Region,Treatment,Engagement Time (min),Views,Likes,Shares,Completion Rate (%),Conversion,Date
162320,Europe,B,43,8,5,1,,FALSE,7/2/2019
162320,Europe,B,49,8,3,2,,FALSE,7/2/2019
57447,Africa,Control,19,1,0,0,,FALSE,7/2/2019
57447,Africa,Control,129,2,2,3,28.2871217,TRUE,7/3/2019
57447,Africa,Control,39,5,5,3,,FALSE,7/6/2019
57447,Africa,Control,191,9,6,0,2.812508952,TRUE,7/4/2019
57447,Africa,Control,171,6,0,1,93.7566639,TRUE,7/6/2019
57447,Africa,Control,160,3,1,0,,FALSE,7/4/2019
57447,Africa,Control,128,7,7,3,99.70503287,TRUE,7/2/2019
57447,Africa,Control,199,6,6,3,44.7291763,TRUE,7/3/2019
30471,Africa,B,123,4,1,2,,FALSE,7/3/2019
30471,Africa,B,90,4,1,1,,FALSE,7/6/2019
30471,Africa,B,154,6,4,3,,FALSE,7/8/2019
177577,North America,Control,171,9,7,0,36.50183161,TRUE,7/3/2019
177577,North America,Control,140,4,3,2,,FALSE,7/4/2019
177577,North America,Control,4,3,1,2,86.97671505,TRUE,7/7/2019
177577,North America,Control,2,10,6,3,24.90930224,TRUE,7/5/2019
177577,North America,Control,143,4,0,2,,FALSE,7/3/2019
177577,North America,Control,91,9,1,1,,FALSE,7/5/2019
88028,Africa,A,164,9,7,0,,FALSE,7/3/2019
88028,Africa,A,183,1,1,1,,FALSE,7/7/2019
88028,Africa,A,38,5,5,0,,FALSE,7/7/2019
88028,Africa,A,56,2,2,0,,FALSE,7/5/2019
88028,Africa,A,175,4,1,0,,FALSE,7/6/2019
88028,Africa,A,89,4,1,0,,FALSE,7/5/2019
88028,Africa,A,17,2,1,1,,FALSE,7/4/2019
88028,Africa,A,82,9,3,0,60.22669886,TRUE,7/5/2019
106144,Africa,A,176,4,0,1,,FALSE,7/4/2019
106144,Africa,A,85,5,3,0,,FALSE,7/9/2019
106144,Africa,A,134,10,0,2,,FALSE,7/7/2019
106144,Africa,A,166,9,3,3,,FALSE,7/8/2019
106144,Africa,A,149,5,2,1,22.36987571,TRUE,7/6/2019
106144,Africa,A,37,10,5,2,,FALSE,7/4/2019
106144,Africa,A,159,2,1,0,46.65182069,TRUE,7/7/2019
106144,Africa,A,162,10,9,1,,FALSE,7/5/2019
106144,Africa,A,20,5,3,3,,FALSE,7/6/2019
172175,South America,B,196,7,4,0,,FALSE,7/5/2019
172175,South America,B,113,8,6,3,,FALSE,7/6/2019
172175,South America,B,105,10,10,3,69.796874,TRUE,7/2/2019
172175,South America,B,162,3,0,0,,FALSE,7/4/2019
67559,North America,B,189,10,9,2,,FALSE,7/7/2019
67559,North America,B,18,1,0,3,40.19453195,TRUE,7/4/2019
67559,North America,B,200,3,3,2,,FALSE,7/5/2019
67559,North America,B,108,8,2,1,95.45314793,TRUE,7/9/2019
67559,North America,B,155,3,2,3,,FALSE,7/7/2019
78342,Africa,Control,77,6,6,3,94.38193018,TRUE,7/8/2019
78342,Africa,Control,43,2,0,1,48.38675289,TRUE,7/8/2019
78342,Africa,Control,159,2,2,2,65.62073476,TRUE,7/5/2019
97260,Europe,A,138,3,2,2,,FALSE,7/3/2019
97260,Europe,A,134,5,0,2,68.92547312,TRUE,7/6/2019
97260,Europe,A,98,2,2,0,,FALSE,7/9/2019
20232,Africa,B,48,6,0,2,,FALSE,7/2/2019
20232,Africa,B,131,9,2,1,58.95322589,TRUE,7/8/2019
20232,Africa,B,131,9,0,1,36.84533348,TRUE,7/8/2019
20232,Africa,B,37,1,0,0,87.27083822,TRUE,7/8/2019
20232,Africa,B,64,7,4,3,,FALSE,7/5/2019
20232,Africa,B,172,1,1,1,61.2758103,TRUE,7/6/2019
20232,Africa,B,151,1,0,0,84.18025192,TRUE,7/8/2019
20232,Africa,B,67,10,1,3,86.39167196,TRUE,7/8/2019
20232,Africa,B,3,4,2,0,64.13061176,TRUE,7/3/2019
85569,Africa,A,104,1,0,3,,FALSE,7/9/2019
9933,Asia,B,163,3,0,1,,FALSE,7/8/2019
9933,Asia,B,62,7,2,2,49.97545124,TRUE,7/9/2019
186851,Africa,Control,21,3,1,2,,FALSE,7/7/2019
186851,Africa,Control,64,4,1,3,11.41598339,TRUE,7/9/2019
186851,Africa,Control,145,6,4,3,2.677096259,TRUE,7/6/2019
186851,Africa,Control,170,10,10,3,,FALSE,7/2/2019
151696,South America,B,106,10,3,0,,FALSE,7/9/2019
151696,South America,B,130,10,10,3,7.706877082,TRUE,7/3/2019
151696,South America,B,53,6,6,2,22.011498,TRUE,7/6/2019
151696,South America,B,198,7,3,1,58.17634406,TRUE,7/9/2019
151696,South America,B,195,4,3,0,,FALSE,7/8/2019
59465,Asia,B,134,10,5,1,44.29094659,TRUE,7/4/2019
59465,Asia,B,17,6,4,0,,FALSE,7/3/2019
59465,Asia,B,115,5,3,2,,FALSE,7/2/2019
59465,Asia,B,60,4,3,2,86.79289139,TRUE,7/8/2019
59465,Asia,B,193,5,2,3,50.34188731,TRUE,7/4/2019
59465,Asia,B,194,3,3,3,55.63261572,TRUE,7/5/2019
59465,Asia,B,131,7,5,0,,FALSE,7/3/2019
196493,Europe,Control,103,2,0,0,79.52532647,TRUE,7/6/2019
196493,Europe,Control,192,9,8,2,,FALSE,7/8/2019
196493,Europe,Control,41,7,3,1,,FALSE,7/9/2019
189343,Africa,B,31,1,0,0,39.65612591,TRUE,7/6/2019
189343,Africa,B,8,4,3,3,,FALSE,7/7/2019
189343,Africa,B,59,4,2,2,,FALSE,7/3/2019
189343,Africa,B,101,8,4,2,67.15322501,TRUE,7/5/2019
189343,Africa,B,179,2,1,0,95.48960394,TRUE,7/9/2019
29989,North America,Control,153,3,0,2,,FALSE,7/9/2019
29989,North America,Control,156,6,5,1,,FALSE,7/6/2019
29989,North America,Control,12,8,2,1,42.39788533,TRUE,7/4/2019
29989,North America,Control,137,6,6,2,,FALSE,7/4/2019
29989,North America,Control,169,4,4,0,,FALSE,7/8/2019
29989,North America,Control,157,9,5,3,,FALSE,7/2/2019
29989,North America,Control,6,5,5,2,64.86851232,TRUE,7/4/2019
87594,Asia,Control,172,9,6,3,,FALSE,7/5/2019
87594,Asia,Control,5,7,7,2,,FALSE,7/7/2019
87594,Asia,Control,42,2,0,3,,FALSE,7/5/2019
87594,Asia,Control,185,6,3,1,,FALSE,7/6/2019
87594,Asia,Control,9,1,1,2,,FALSE,7/2/2019
87594,Asia,Control,34,4,2,2,,FALSE,7/5/2019
87594,Asia,Control,131,4,4,3,,FALSE,7/6/2019
87594,Asia,Control,37,5,0,0,72.35998264,TRUE,7/2/2019
87594,Asia,Control,21,8,4,2,91.19098802,TRUE,7/5/2019
87594,Asia,Control,69,10,8,2,,FALSE,7/3/2019
